Object,X,Y,Z,Time
Sun,    3.3708E+02,    9.0743E-02,    0.0000E+00,              60000.
Jupiter,    7.7860E+11,    7.8600E+08,    0.0000E+00,              60000.
Sun,    1.4232E+03,    8.6205E-01,    0.0000E+00,             120000.
Jupiter,    7.7860E+11,    1.5720E+09,    0.0000E+00,             120000.
Sun,    3.2584E+03,    3.0701E+00,    0.0000E+00,             180000.
Jupiter,    7.7860E+11,    2.3580E+09,    0.0000E+00,             180000.
Sun,    5.8427E+03,    7.4711E+00,    0.0000E+00,             240000.
Jupiter,    7.7859E+11,    3.1440E+09,    0.0000E+00,             240000.
Sun,    9.1761E+03,    1.4821E+01,    0.0000E+00,             300000.
Jupiter,    7.7859E+11,    3.9300E+09,    0.0000E+00,             300000.
Sun,    1.3258E+04,    2.5877E+01,    0.0000E+00,             360000.
Jupiter,    7.7859E+11,    4.7160E+09,    0.0000E+00,             360000.
Sun,    1.8090E+04,    4.1394E+01,    0.0000E+00,             420000.
Jupiter,    7.7858E+11,    5.5020E+09,    0.0000E+00,             420000.
Sun,    2.3670E+04,    6.2128E+01,    0.0000E+00,             480000.
Jupiter,    7.7858E+11,    6.2879E+09,    0.0000E+00,             480000.
Sun,    3.0000E+04,    8.8837E+01,    0.0000E+00,             540000.
Jupiter,    7.7857E+11,    7.0739E+09,    0.0000E+00,             540000.
Sun,    3.7079E+04,    1.2227E+02,    0.0000E+00,             600000.
Jupiter,    7.7856E+11,    7.8599E+09,    0.0000E+00,             600000.
Sun,    4.4906E+04,    1.6320E+02,    0.0000E+00,             660000.
Jupiter,    7.7855E+11,    8.6458E+09,    0.0000E+00,             660000.
Sun,    5.3483E+04,    2.1237E+02,    0.0000E+00,             720000.
Jupiter,    7.7854E+11,    9.4318E+09,    0.0000E+00,             720000.
Sun,    6.2808E+04,    2.7053E+02,    0.0000E+00,             780000.
Jupiter,    7.7853E+11,    1.0218E+10,    0.0000E+00,             780000.
Sun,    7.2883E+04,    3.3845E+02,    0.0000E+00,             840000.
Jupiter,    7.7852E+11,    1.1004E+10,    0.0000E+00,             840000.
Sun,    8.3707E+04,    4.1688E+02,    0.0000E+00,             900000.
Jupiter,    7.7851E+11,    1.1790E+10,    0.0000E+00,             900000.
Sun,    9.5279E+04,    5.0658E+02,    0.0000E+00,             960000.
Jupiter,    7.7850E+11,    1.2575E+10,    0.0000E+00,             960000.
Sun,    1.0760E+05,    6.0830E+02,    0.0000E+00,            1020000.
Jupiter,    7.7849E+11,    1.3361E+10,    0.0000E+00,            1020000.
Sun,    1.2067E+05,    7.2280E+02,    0.0000E+00,            1080000.
Jupiter,    7.7847E+11,    1.4147E+10,    0.0000E+00,            1080000.
Sun,    1.3449E+05,    8.5083E+02,    0.0000E+00,            1140000.
Jupiter,    7.7846E+11,    1.4933E+10,    0.0000E+00,            1140000.
Sun,    1.4906E+05,    9.9315E+02,    0.0000E+00,            1200000.
Jupiter,    7.7844E+11,    1.5719E+10,    0.0000E+00,            1200000.
Sun,    1.6438E+05,    1.1505E+03,    0.0000E+00,            1260000.
Jupiter,    7.7843E+11,    1.6505E+10,    0.0000E+00,            1260000.
Sun,    1.8044E+05,    1.3237E+03,    0.0000E+00,            1320000.
Jupiter,    7.7841E+11,    1.7291E+10,    0.0000E+00,            1320000.
Sun,    1.9726E+05,    1.5134E+03,    0.0000E+00,            1380000.
Jupiter,    7.7839E+11,    1.8076E+10,    0.0000E+00,            1380000.
Sun,    2.1482E+05,    1.7205E+03,    0.0000E+00,            1440000.
Jupiter,    7.7837E+11,    1.8862E+10,    0.0000E+00,            1440000.
Sun,    2.3314E+05,    1.9456E+03,    0.0000E+00,            1500000.
Jupiter,    7.7836E+11,    1.9648E+10,    0.0000E+00,            1500000.
Sun,    2.5220E+05,    2.1895E+03,    0.0000E+00,            1560000.
Jupiter,    7.7834E+11,    2.0434E+10,    0.0000E+00,            1560000.
Sun,    2.7201E+05,    2.4531E+03,    0.0000E+00,            1620000.
Jupiter,    7.7832E+11,    2.1219E+10,    0.0000E+00,            1620000.
Sun,    2.9257E+05,    2.7369E+03,    0.0000E+00,            1680000.
Jupiter,    7.7829E+11,    2.2005E+10,    0.0000E+00,            1680000.
Sun,    3.1387E+05,    3.0419E+03,    0.0000E+00,            1740000.
Jupiter,    7.7827E+11,    2.2791E+10,    0.0000E+00,            1740000.
Sun,    3.3593E+05,    3.3687E+03,    0.0000E+00,            1800000.
Jupiter,    7.7825E+11,    2.3576E+10,    0.0000E+00,            1800000.
Sun,    3.5874E+05,    3.7181E+03,    0.0000E+00,            1860000.
Jupiter,    7.7822E+11,    2.4362E+10,    0.0000E+00,            1860000.
Sun,    3.8229E+05,    4.0909E+03,    0.0000E+00,            1920000.
Jupiter,    7.7820E+11,    2.5148E+10,    0.0000E+00,            1920000.
Sun,    4.0659E+05,    4.4878E+03,    0.0000E+00,            1980000.
Jupiter,    7.7817E+11,    2.5933E+10,    0.0000E+00,            1980000.
Sun,    4.3165E+05,    4.9096E+03,    0.0000E+00,            2040000.
Jupiter,    7.7815E+11,    2.6719E+10,    0.0000E+00,            2040000.
Sun,    4.5745E+05,    5.3570E+03,    0.0000E+00,            2100000.
Jupiter,    7.7812E+11,    2.7504E+10,    0.0000E+00,            2100000.
Sun,    4.8399E+05,    5.8308E+03,    0.0000E+00,            2160000.
Jupiter,    7.7809E+11,    2.8290E+10,    0.0000E+00,            2160000.
Sun,    5.1129E+05,    6.3317E+03,    0.0000E+00,            2220000.
Jupiter,    7.7806E+11,    2.9075E+10,    0.0000E+00,            2220000.
Sun,    5.3934E+05,    6.8605E+03,    0.0000E+00,            2280000.
Jupiter,    7.7803E+11,    2.9861E+10,    0.0000E+00,            2280000.
Sun,    5.6813E+05,    7.4180E+03,    0.0000E+00,            2340000.
Jupiter,    7.7800E+11,    3.0646E+10,    0.0000E+00,            2340000.
Sun,    5.9767E+05,    8.0049E+03,    0.0000E+00,            2400000.
Jupiter,    7.7797E+11,    3.1432E+10,    0.0000E+00,            2400000.
Sun,    6.2797E+05,    8.6219E+03,    0.0000E+00,            2460000.
Jupiter,    7.7794E+11,    3.2217E+10,    0.0000E+00,            2460000.
Sun,    6.5900E+05,    9.2699E+03,    0.0000E+00,            2520000.
Jupiter,    7.7791E+11,    3.3002E+10,    0.0000E+00,            2520000.
Sun,    6.9079E+05,    9.9495E+03,    0.0000E+00,            2580000.
Jupiter,    7.7788E+11,    3.3788E+10,    0.0000E+00,            2580000.
Sun,    7.2333E+05,    1.0662E+04,    0.0000E+00,            2640000.
Jupiter,    7.7784E+11,    3.4573E+10,    0.0000E+00,            2640000.
